gene_name	length
truD	1041
surE	750
pcm	678
PST_1570	936
nlpD	816
rpoS	999
PST_1573	186
PST_1575	861
PST_1574	2124
PST_1576	477
PST_1577	792
PST_1578	603
PST_1579	522
PST_1580	345
PST_1581	345
PST_1582	699
PST_1583	1029
PST_1584	885
PST_1585	270
PST_1586	609
PST_1587	189
dgt	1497
PST_1589	1134
PST_1590	933
PST_1591	237
PST_1592	396
PST_1593	960
PST_1594	255
PST_1595	414
PST_1596	369
PST_1597	1644
PST_1598	282
PST_1599	972
PST_1600	1161
glpD	1536
glpR	759
glpK	1509
glpF	882
PST_1605	765
PST_1606	2361
PST_1607	777
PST_1608	813
PST_1609	597
PST_1610	1599
PST_1611	411
PST_1612	471
PST_1613	1407
PST_1614	2124
PST_1615	1035
PST_1616	402
PST_1617	837
PST_1618	2097
PST_1619	648
PST_1620	438
gnl	1173
PST_1622	1005
PST_1623	249
PST_1624	900
PST_1625	789
PST_1626	564
PST_1627	603
PST_1628	423
katG	2232
PST_1630	744
PST_1631	696
PST_1632	756
PST_1633	897
PST_1634	444
PST_1635	717
nrdB	1248
nrdA	2886
PST_1638	717
PST_1639	1602
fadE	2445
PST_1641	1140
PST_1642	357
PST_1643	231
PST_1644	411
PST_1645	429
PST_1646	90
PST_1647	1329
PST_1648	690
argD	1221
PST_1650	282
astE	999
PST_1652	825
PST_1653	780
queF	897
PST_1655	267
vacJ	702
PST_1657	300
PST_1658	1263
PST_1659	483
tal	927
PST_1661	1005
PST_1662	1323
PST_1663	528
PST_1664	1380
PST_1665	1680
benR	954
benA	1251
benB	489
benC	1011
benD	777
benK	1347
catB	1122
catC	291
catA	852
benE	1224
benF	1263
PST_1677	1549
PST_1678	77
PST_1679	76
PST_1680	2901
PST_1680a	120
PST_1681	2292
lpd3	2121
fumC-2	1395
PST_1684	579
PST_1685	942
PST_1686	600
PST_1687	1779
PST_1688	1953
PST_1689	1002
PST_1690	549
PST_1691	1308
PST_1692	1326
PST_1693	984
PST_1694	1164
PST_1695	405
PST_1696	1353
PST_1697	1323
PST_1698	828
PST_1699	1035
PST_1700	261
PST_1701	423
PST_1702	801
PST_1703	267
PST_1704	1029
PST_1705	534
PST_1706	1617
PST_1707	1026
PST_1708	1071
PST_1709	2055
PST_1710	2700
exbD1	402
exbB1	621
PST_1713	858
PST_1714	1350
PST_1715	1446
mvaB	1017
PST_1717	1203
PST_1718	684
PST_1719	204
PST_1720	999
PST_1721	1324
acsA	1956
PST_1724	360
PST_1725	1953
fadB	2148
fadA	1176
PST_1728	297
topA	2604
PST_1730	519
PST_1731	840
PST_1732	237
PST_1733	480
lexA-2	438
psrA	708
PST_1736	525
nagZ	798
PST_1738	738
PST_1739	498
PST_1740	462
PST_1741	2538
PST_1742	708
PST_1743	1209
PST_1744	2067
betB	1473
betA	1674
rimO	1383
PST_1748	1068
PST_1749	1074
PST_1750	342
PST_1751	1203
PST_1752	1047
PST_1753	1107
PST_1754	1317
PST_1755	1299
PST_1756	1311
PST_1757	510
PST_1758	723
PST_1759	2211
PST_1760	933
PST_1761	1563
PST_1762	1179
PST_1763	774
PST_1764	77
PST_1765	77
PST_1766	426
PST_1767	294
PST_1768	909
PST_1769	735
ibpA	447
PST_1771	873
leuC	1428
leuD	648
leuB	1083
asd-1	1113
asd-2	1011
PST_1777	2745
truA	861
trpF	624
accD	894
folC	1215
PST_1783	603
purF	1506
metZ	1212
xcpQ	1935
xcpP	645
PST_1788	76
PST_1789	77
PST_1790	195
soxR	477
PST_1792	597
PST_1793	696
PST_1794	315
PST_1795	546
cobN	3678
PST_1797	1956
rpmE2	258
ltaA	1047
PST_1800	909
PST_1801	627
PST_1802	1179
PST_1803	768
PST_1804	2127
PST_1805	333
PST_1806	1044
cydA2	1440
cydB2	1008
PST_1810	1038
PST_1811	1014
fadH1	2148
PST_1813	423
PST_1814	1341
PST_1815	948
PST_1816	984
PST_1817	1395
pdxB	1146
PST_1819	1740
dnaX	2064
PST_1821	282
recR	600
PST_1823	1032
PST_1824	759
PST_1825	774
PST_1826	702
PST_1827	609
apt	549
anr	735
